"dataset","seed_number","p_0","p_1","train_auc","train_AIC","train_BIC","test_auc"
"ionosphere",1,7,6,0.951048951048951,172.717387156133,223.654352526805,0.808785529715762
"ionosphere",1010,11,6,0.965256965256965,145.690514958585,211.180899006593,0.80275624461671
"ionosphere",4,6,5,0.94960594960595,169.362608678694,213.022864710699,0.846683893195521
"ionosphere",781,8,6,0.956765456765457,158.322250363496,212.897570403502,0.820844099913867
"ionosphere",9990,7,3,0.942057942057942,164.079409601841,204.101310964512,0.85099052540913
"ionosphere",9999,12,8,0.983849483849484,124.849231049373,201.254679105382,0.794142980189492
"Sonar",1,13,9,0.961972238288028,125.295122210296,197.008979895881,0.645238095238095
"Sonar",1010,15,7,0.976431463273569,109.337864539511,181.051722225096,0.564285714285714
"Sonar",4,9,7,0.959803354540197,121.296412868455,174.302307679539,0.707142857142857
"Sonar",781,10,6,0.963996529786003,115.886381776143,168.892276587228,0.638095238095238
"Sonar",9990,10,9,0.962116830537883,118.417547368782,180.777423617117,0.635714285714286
"Sonar",67,13,5,0.964141122035859,120.087771331122,179.329653767041,0.564285714285714
