"dataset","type","train_AIC","train_BIC","test_auc","train_auc","p_0","p_1","myorder"
"ionosphere","glinternet",208.438219530899,437.654563698925,0.914728682170543,0.99039849039849,27,36,1
"ionosphere","glinternet",208.438219530899,437.654563698925,0.914728682170543,0.99039849039849,27,36,1
"ionosphere","glinternet",213.182846495839,442.399190663865,0.919035314384152,0.988899988899989,27,36,1
"Sonar","glinternet",277.751783256321,686.208972682916,0.75,1,47,84,1
"Sonar","glinternet",257.032881584587,618.72016382493,0.742857142857143,1,44,72,1
"Sonar","glinternet",293.052574533293,729.571708271639,0.747619047619048,1,48,92,1
"ionosphere","glinternet",208.466004613889,459.512476797917,0.907838070628768,0.992340992340992,27,42,1
"ionosphere","glinternet",208.438219530899,437.654563698925,0.914728682170543,0.99039849039849,27,36,1
"ionosphere","glinternet",204.218117034987,466.179653227017,0.900086132644272,0.994727494727495,28,44,1
"ionosphere","glinternet",200.163735345211,429.380079513237,0.90869939707149,0.991896991896992,27,36,1
"ionosphere","glinternet",200.163735345211,429.380079513237,0.90869939707149,0.991896991896992,27,36,1
"ionosphere","glinternet",210.838776428591,472.800312620621,0.904392764857881,0.993561993561994,28,44,1
"ionosphere","glinternet",208.438219530899,437.654563698925,0.914728682170543,0.99039849039849,27,36,1
"ionosphere","glinternet",204.087115440429,433.303459608455,0.909560723514212,0.991397491397491,27,36,1
"ionosphere","glinternet",208.438219530899,437.654563698925,0.914728682170543,0.99039849039849,27,36,1
"Sonar","glinternet",265.84175802513,611.93907120339,0.733333333333333,1,43,68,1
"Sonar","glinternet",293.842363943788,736.597485306967,0.726190476190476,1,48,94,1
"Sonar","glinternet",289.431017641403,729.068145192166,0.726190476190476,1,47,94,1
"Sonar","glinternet",265.84175802513,611.93907120339,0.733333333333333,1,43,68,1
"Sonar","glinternet",298.765415672929,753.992512285775,0.726190476190476,1,48,98,1
"Sonar","glinternet",263.085111888068,621.654400315995,0.735714285714286,1,43,72,1
"Sonar","glinternet",277.751783256321,686.208972682916,0.75,1,47,84,1
"Sonar","glinternet",254.807123143929,619.612399196689,0.745238095238095,1,43,74,1
"Sonar","glinternet",292.961034963762,735.716156326941,0.723809523809524,1,48,94,1
"Sonar","SP-FSR",90.0000000058749,230.309721564629,0.614285714285714,1,13,44,2
"Sonar","SP-FSR",134.000000002385,342.905585434308,0.704761904761905,1,22,66,2
"Sonar","SP-FSR",140.00000000399,358.259566873163,0.697619047619048,1,17,69,2
"ionosphere","SP-FSR",102.158909085576,200.394485157587,0.935400516795866,0.992618492618493,14,26,2
"ionosphere","SP-FSR",284.174613556469,538.859440409831,0.796296296296296,0.992202242202242,18,69,2
"ionosphere","SP-FSR",128.869738292219,208.913541017561,0.857881136950904,0.976134976134976,10,21,2
"ionosphere","SP-FSR",131.012860950376,229.248437022387,0.775193798449612,0.973193473193473,12,26,2
"ionosphere","SP-FSR",113.460691265323,186.227784651998,0.888888888888889,0.97968697968698,11,19,2
"ionosphere","SP-FSR",142.613055479183,204.465084857857,0.851851851851852,0.966477966477966,9,16,2
"ionosphere","SP-FSR",128.56904204639,226.804618118401,0.878552971576227,0.980963480963481,12,26,2
"ionosphere","SP-FSR",142.355647427075,204.207676805748,0.819121447028424,0.968253968253968,10,16,2
"ionosphere","SP-FSR",125.761925836953,183.975600546293,0.887166236003445,0.96975246975247,9,15,2
"ionosphere","SP-FSR",136.000000044123,383.408117558818,0.770456503014643,1,17,67,2
"ionosphere","SP-FSR",131.44506564656,200.573804363901,0.883720930232558,0.968531468531469,10,18,2
"ionosphere","SP-FSR",93.3115693590827,176.993726753759,0.774332472006891,0.98967698967699,13,22,2
"Sonar","SP-FSR",78.0000000119193,199.601758696173,0.676190476190476,1,12,38,2
"Sonar","SP-FSR",122.000000004517,312.197622561939,0.611904761904762,1,14,60,2
"Sonar","SP-FSR",140.000000003298,358.259566872471,0.634523809523809,1,17,69,2
"Sonar","SP-FSR",84.0000000079728,214.955740129477,0.607142857142857,1,13,41,2
"Sonar","SP-FSR",122.000000002873,312.197622560296,0.745238095238095,1,15,60,2
"Sonar","SP-FSR",126.000000003209,322.433610185465,0.673809523809524,1,16,62,2
"Sonar","SP-FSR",262.000000001592,670.457189428187,0.713095238095238,1,23,130,2
"Sonar","SP-FSR",68.0000000357262,174.011789657896,0.70952380952381,1,12,33,2
"Sonar","SP-FSR",230.000000001858,588.569288429784,0.78452380952381,1,23,114,2
"ionosphere","GA",1962.26997623409,2122.35758168478,0.763565891472868,0.91014541014541,13,30,4
"ionosphere","GA",138.000000024387,389.046472208415,0.861326442721792,1,15,53,4
"ionosphere","GA",834.873067782343,1042.25928393437,0.738156761412575,0.956404706404706,14,42,4
"ionosphere","GA",156.000000018836,439.791664226868,0.814384151593454,1,16,61,4
"ionosphere","GA",110.00000013545,310.109506948806,0.798449612403101,1,13,41,4
"ionosphere","GA",254.000000004767,716.071043010153,0.680447889750215,1,22,104,4
"ionosphere","GA",208.000000010092,586.388885620801,0.761412575366064,1,18,85,4
"ionosphere","GA",524.436533891172,822.781616776539,0.724375538329027,0.986263736263736,16,65,4
"ionosphere","GA",1481.65882878645,1685.40669026914,0.793712316968131,0.931679431679432,15,40,4
"ionosphere","GA",162.00000001458,456.706728230613,0.700258397932817,1,16,64,4
"ionosphere","GA",126.751673590929,250.455732348277,0.869078380706288,0.992118992118992,11,22,4
"ionosphere","GA",256.000000004768,721.709397679487,0.708871662360034,1,21,106,4
"Sonar","GA",114.000000009639,291.725647317394,0.576190476190476,1,15,41,4
"Sonar","GA",226.000000001602,578.333300804696,0.666666666666667,1,22,90,4
"Sonar","GA",158.000000004219,404.321511185142,0.686904761904762,1,18,60,4
"Sonar","GA",244.000000001511,624.395245116355,0.575,1,22,99,4
"Sonar","GA",334.000000000969,854.704966674567,0.65,1,26,157,4
"Sonar","GA",204.000000001782,522.035368868291,0.616666666666667,1,19,82,4
"Sonar","GA",176.000000002119,450.383455494793,0.828571428571429,1,19,68,4
"Sonar","GA",334.000000000969,854.704966674567,0.582142857142857,1,28,195,4
"Sonar","GA",334.000000000969,854.704966674567,0.475,1,29,204,4
"Sonar","GA",194.000000001796,496.445399806222,0.60952380952381,1,18,78,4
"Sonar","GA",324.000000001055,829.11499761257,0.438095238095238,1,24,137,4
"Sonar","GA",278.000000001202,711.401139927131,0.635714285714286,1,24,114,4
"ionosphere","SFFS",172.717387156133,223.654352526805,0.808785529715762,0.951048951048951,7,6,3
