"dataset","seed","lambda","train_auc","train_AIC","train_BIC","p_0","p_1","test_auc","test_AIC","test_BIC"
"ionosphere",2,0.000697106461587363,0.99039849039849,208.438219530899,437.654563698925,27,36,0.914728682170543,180.634152500389,322.289352749499
"ionosphere",3,0.000697106461587363,0.99039849039849,208.438219530899,437.654563698925,27,36,0.914728682170543,180.634152500389,322.289352749499
"ionosphere",1017,0.000765800128399088,0.988899988899989,213.182846495839,442.399190663865,27,36,0.919035314384152,180.217774718684,321.872974967794
"Sonar",2,0.000459930873113766,1,277.751783256321,686.208972682916,47,84,0.75,329.429009216899,553.906949955163
"Sonar",3,0.000735824417767086,1,257.032881584587,618.72016382493,44,72,0.742857142857143,293.601176707664,492.375536445364
"Sonar",1017,0.000381118394018467,1,293.052574533293,729.571708271639,48,92,0.747619047619048,348.902186341193,588.802275679796
"ionosphere",1,0.000525835773669379,0.992340992340992,208.466004613889,459.512476797917,27,42,0.907838070628768,194.547177500548,349.693349201954
"ionosphere",1010,0.000697106461587363,0.99039849039849,208.438219530899,437.654563698925,27,36,0.914728682170543,180.634152500389,322.289352749499
"ionosphere",4,0.000396644237439509,0.994727494727495,204.218117034987,466.179653227017,28,44,0.900086132644272,203.226406766196,365.11806419375
"ionosphere",781,0.000577652231304671,0.991896991896992,200.163735345211,429.380079513237,27,36,0.90869939707149,181.827296765124,323.482497014233
"ionosphere",9990,0.000577652231304671,0.991896991896992,200.163735345211,429.380079513237,27,36,0.90869939707149,181.827296765124,323.482497014233
"ionosphere",9999,0.000478667346693998,0.993561993561994,210.838776428591,472.800312620621,28,44,0.904392764857881,201.292031897676,363.18368932523
"ionosphere",81,0.000697106461587363,0.99039849039849,208.438219530899,437.654563698925,27,36,0.914728682170543,180.634152500389,322.289352749499
"ionosphere",46,0.000634574741849094,0.991397491397491,204.087115440429,433.303459608455,27,36,0.909560723514212,181.210187032447,322.865387281557
"ionosphere",67,0.000697106461587363,0.99039849039849,208.438219530899,437.654563698925,27,36,0.914728682170543,180.634152500389,322.289352749499
"Sonar",1,0.00129321923225324,1,265.84175802513,611.93907120339,43,68,0.733333333333333,278.932586324494,469.139085728672
"Sonar",1010,0.000287482180443419,1,293.842363943788,736.597485306967,48,94,0.726190476190476,355.381369893977,598.708603365989
"Sonar",4,0.000216851260315968,1,289.431017641403,729.068145192166,47,94,0.726190476190476,356.301809633813,597.915471039121
"Sonar",781,0.00129321923225324,1,265.84175802513,611.93907120339,43,68,0.733333333333333,278.932586324494,469.139085728672
"Sonar",9990,0.000197399307160791,1,298.765415672929,753.992512285775,48,98,0.726190476190476,367.4399779559,617.621499694729
"Sonar",9999,0.00097549079371255,1,263.085111888068,621.654400315995,43,72,0.735714285714286,288.747981334597,485.808769005593
"Sonar",81,0.000459930873113766,1,277.751783256321,686.208972682916,47,84,0.75,329.429009216899,553.906949955163
"Sonar",46,0.000609735585872701,1,254.807123143929,619.612399196689,43,74,0.745238095238095,298.013407378141,498.501339182545
"Sonar",67,0.000261694505062674,1,292.961034963762,735.716156326941,48,94,0.723809523809524,356.296441905057,599.623675377069
