"Method","Dataset","meanTestRMSE","sdTestRMSE","meanTrainRMSE","sdTrainRMSE","p0","p1"
"Baseline","BostonHousing",3.9597336484593,NA,4.86975628592619,NA,13,NA
"Baseline","Ailerons",0.0179788848849497,NA,0.0171819312193007,NA,40,NA
"Baseline","Elevators",0.294332527970271,NA,0.289089648832823,NA,18,NA
"Two-Step SP-FSR","BostonHousing",3.7398268929528,0.304450322072127,3.27789329865821,0.249476027423606,9.91666666666667,32.6666666666667
"Two-Step SP-FSR","Ailerons",0.0169259347957862,0.000104717504832346,0.0157097297695234,0.000151430986534312,21.3333333333333,127.333333333333
"Two-Step SP-FSR","Elevators",0.242230462695903,0.00176576797103599,0.239495158851852,0.00198728103065897,14.6666666666667,73
"glinternet","BostonHousing",3.37113792746158,0.026675989365507,3.10660170745613,0.0694798810725299,12.9166666666667,65
"glinternet","Ailerons",0.0167776973418862,0,0.0157796194251185,0,25,64
"glinternet","Elevators",0.250670281715857,NA,0.248500280909017,NA,16,42
"GA","BostonHousing",3.84033084432168,0.310394441224374,3.14389803645248,0.154089895603698,10.75,27.75
"GA","Ailerons",0.0198347204245158,0.00535992367832032,0.0156095922305022,3.43318964390128e-05,17.6666666666667,65.3333333333333
"GA","Elevators",0.244664836861118,0.000294418041432775,0.243779182044306,0.000204949139384832,12.3333333333333,43
"SFS","BostonHousing",3.86418225173339,0.482370377697411,3.33459450983128,0.064286737295494,11,19.3333333333333
"SFS","Ailerons",0.01731997015484,0,0.0165483192551938,0,4,3
"SFS","Elevators",0.25269744177872,0,0.252335983609866,0,7,3
