"dataset","seed","p_0","mean_0","std_0","runtime_0","p_1","mean_1","std_1","runtime_1","train_AIC","train_BIC","train_auc","test_auc"
"Sonar",2,13,0.91954,0.04481,0.92,44,0.95202,0.04124,2.56,90.0000000058749,230.309721564629,1,0.614285714285714
"Sonar",3,22,0.88335,0.05975,0.34,66,0.95221,0.0503,4.93,134.000000002385,342.905585434308,1,0.704761904761905
"Sonar",1017,17,0.88049,0.06258,0.39,69,0.88506,0.06944,1.44,140.00000000399,358.259566873163,1,0.697619047619048
"ionosphere",2,14,0.94427,0.03762,0.87,26,0.93225,0.05963,2.81,102.158909085576,200.394485157587,0.992618492618493,0.935400516795866
"ionosphere",3,18,0.93469,0.03865,0.53,69,0.80699,0.06762,2.97,284.174613556469,538.859440409831,0.992202242202242,0.796296296296296
"ionosphere",1017,10,0.9402,0.05105,1.17,21,0.95961,0.02298,1.14,128.869738292219,208.913541017561,0.976134976134976,0.857881136950904
"ionosphere",1,12,0.94801,0.03155,1.02,26,0.94045,0.04312,1.58,131.012860950376,229.248437022387,0.973193473193473,0.775193798449612
"ionosphere",1010,11,0.94682,0.03169,1.49,19,0.96943,0.02644,2.03,113.460691265323,186.227784651998,0.97968697968698,0.888888888888889
"ionosphere",4,9,0.94927,0.04203,0.78,16,0.95013,0.02974,0.86,142.613055479183,204.465084857857,0.966477966477966,0.851851851851852
"ionosphere",781,12,0.94422,0.03165,0.89,26,0.94037,0.02109,2.18,128.56904204639,226.804618118401,0.980963480963481,0.878552971576227
"ionosphere",9990,10,0.9494,0.03163,1.15,16,0.93634,0.02991,1.23,142.355647427075,204.207676805748,0.968253968253968,0.819121447028424
"ionosphere",9999,9,0.94403,0.0399,0.98,15,0.96065,0.034,1.28,125.761925836953,183.975600546293,0.96975246975247,0.887166236003445
"ionosphere",81,17,0.92574,0.03892,0.46,67,0.82101,0.05908,1.64,136.000000044123,383.408117558818,1,0.770456503014643
"ionosphere",46,10,0.94891,0.02751,1.23,18,0.9532,0.0281,1.52,131.44506564656,200.573804363901,0.968531468531469,0.883720930232558
"ionosphere",67,13,0.92346,0.04662,0.61,22,0.95612,0.04441,3.04,93.3115693590827,176.993726753759,0.98967698967699,0.774332472006891
"Sonar",1,12,0.92635,0.04094,1.37,38,0.95124,0.03576,2.56,78.0000000119193,199.601758696173,1,0.676190476190476
"Sonar",1010,14,0.93305,0.04298,1.55,60,0.89485,0.03631,1.15,122.000000004517,312.197622561939,1,0.611904761904762
"Sonar",4,17,0.8909,0.05018,0.76,69,0.88062,0.06153,2.73,140.000000003298,358.259566872471,1,0.634523809523809
"Sonar",781,13,0.93208,0.03358,1.43,41,0.91016,0.04635,1.3,84.0000000079728,214.955740129477,1,0.607142857142857
"Sonar",9990,15,0.94063,0.04053,1.34,60,0.94132,0.05117,2.82,122.000000002873,312.197622560296,1,0.745238095238095
"Sonar",9999,16,0.90802,0.04261,0.76,62,0.93176,0.05096,2.83,126.000000003209,322.433610185465,1,0.673809523809524
"Sonar",81,23,0.90174,0.04069,0.54,130,0.60902,0.07635,2.33,262.000000001592,670.457189428187,1,0.713095238095238
"Sonar",46,12,0.93358,0.04076,1.46,33,0.88293,0.05703,1.01,68.0000000357262,174.011789657896,1,0.70952380952381
"Sonar",67,23,0.88501,0.06253,0.65,114,0.72859,0.11777,5.3,230.000000001858,588.569288429784,1,0.78452380952381

